"YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","DIVERTED","CANCELLED","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY"
2015,6,18,4,"US",855,"N834AW","SJC","PHX",1910,1900,-10,12,1912,109,110,90,621,2042,8,2059,2050,-9,0,0,"",NA,NA,NA,NA,NA
2015,5,4,1,"DL",2002,"N380DA","ATL","LAS",941,941,0,20,1001,264,261,229,1747,1050,12,1105,1102,-3,0,0,"",NA,NA,NA,NA,NA
2015,2,26,4,"VX",407,"N624VA","JFK","LAX",920,917,-3,51,1008,390,391,332,2475,1240,8,1250,1248,-2,0,0,"",NA,NA,NA,NA,NA
2015,8,26,3,"WN",374,"N391SW","ATL","CMH",1525,1518,-7,23,1541,95,94,66,447,1647,5,1700,1652,-8,0,0,"",NA,NA,NA,NA,NA
2015,10,20,2,"AA",642,"N640AW","14107","11292",1450,1458,8,10,1508,104,92,78,602,1726,4,1734,1730,-4,0,0,"",NA,NA,NA,NA,NA
2015,11,15,7,"EV",5423,"N146PQ","ATL","BMI",2115,2110,-5,20,2130,105,107,82,533,2152,5,2200,2157,-3,0,0,"",NA,NA,NA,NA,NA
2015,5,6,3,"MQ",3357,"N528MQ","ORD","MEM",1015,1124,69,13,1137,104,90,73,491,1250,4,1159,1254,55,0,0,"",0,0,0,55,0
2015,8,28,5,"UA",1219,"N14228","ATL","ORD",1710,1717,7,11,1728,132,110,84,606,1752,15,1822,1807,-15,0,0,"",NA,NA,NA,NA,NA
2015,3,1,7,"HA",236,"N478HA","HNL","OGG",1755,1751,-4,15,1806,37,43,22,100,1828,6,1832,1834,2,0,0,"",NA,NA,NA,NA,NA
2015,9,9,3,"WN",302,"N708SW","RNO","LAX",1315,1315,0,11,1326,85,89,66,391,1432,12,1440,1444,4,0,0,"",NA,NA,NA,NA,NA
2015,7,7,2,"UA",1752,"N76528","CLE","ORD",740,743,3,10,753,85,95,72,315,805,13,805,818,13,0,0,"",NA,NA,NA,NA,NA
2015,9,10,4,"HA",143,"N476HA","HNL","LIH",1143,1210,27,14,1224,41,44,25,102,1249,5,1224,1254,30,0,0,"",0,0,10,20,0
2015,1,26,1,"UA",1456,"N34222","IAH","SFO",1131,1158,27,12,1210,272,218,199,1635,1329,7,1403,1336,-27,0,0,"",NA,NA,NA,NA,NA
2015,6,22,1,"DL",922,"N6712B","SJU","ATL",725,717,-8,11,728,224,205,184,1547,1032,10,1109,1042,-27,0,0,"",NA,NA,NA,NA,NA
2015,9,14,1,"AA",1222,"N3DRAA","ORD","DCA",1715,1714,-1,17,1731,120,112,83,612,1954,12,2015,2006,-9,0,0,"",NA,NA,NA,NA,NA
2015,12,25,5,"WN",3999,"N447WN","SDF","MCO",1355,1350,-5,9,1359,120,119,103,719,1542,7,1555,1549,-6,0,0,"",NA,NA,NA,NA,NA
2015,9,1,2,"AA",1322,"N640AA","MIA","BOS",1950,2009,19,25,2034,197,202,172,1258,2326,5,2307,2331,24,0,0,"",5,0,19,0,0
2015,7,19,7,"UA",841,"N598UA","JFK","LAX",1430,1425,-5,18,1443,377,341,317,2475,1700,6,1747,1706,-41,0,0,"",NA,NA,NA,NA,NA
2015,6,2,2,"OO",2874,"N862AS","LAX","SMF",2050,2130,40,12,2142,82,78,63,373,2245,3,2212,2248,36,0,0,"",0,0,36,0,0
2015,6,26,5,"US",1745,"N749US","IAH","CLT",1159,1153,-6,17,1210,151,151,126,912,1516,8,1530,1524,-6,0,0,"",NA,NA,NA,NA,NA
2015,4,5,7,"US",1854,"N572UW","PHX","CLT",1450,1448,-2,9,1457,237,218,198,1773,2115,11,2147,2126,-21,0,0,"",NA,NA,NA,NA,NA
2015,2,11,3,"WN",4838,"N8656B","BWI","PIT",2205,2204,-1,7,2211,60,53,40,210,2251,6,2305,2257,-8,0,0,"",NA,NA,NA,NA,NA
2015,4,16,4,"US",2157,"N961UW","DCA","LGA",1400,1359,-1,33,1432,88,86,45,214,1517,8,1528,1525,-3,0,0,"",NA,NA,NA,NA,NA
2015,1,19,1,"MQ",3481,"N644MQ","ORD","FWA",835,828,-7,16,844,53,NA,NA,157,NA,NA,1028,NA,NA,0,1,"B",NA,NA,NA,NA,NA
2015,7,6,1,"DL",1441,"N931DL","ATL","CLT",2306,2301,-5,17,2318,70,64,40,226,2358,7,16,5,-11,0,0,"",NA,NA,NA,NA,NA
2015,6,1,1,"EV",2646,"N902EV","SHV","DFW",1846,1832,-14,13,1845,64,89,38,190,1923,38,1950,2001,11,0,0,"",NA,NA,NA,NA,NA
2015,2,22,7,"B6",459,"N274JB","BOS","PHL",800,752,-8,47,839,99,117,65,280,944,5,939,949,10,0,0,"",NA,NA,NA,NA,NA
2015,2,5,4,"HA",19,"N587HA","SMF","HNL",915,911,-4,20,931,340,386,351,2462,1322,15,1255,1337,42,0,0,"",0,0,42,0,0
2015,8,11,2,"DL",1758,"N802DN","ATL","TPA",2308,2315,7,10,2325,83,67,53,406,18,4,31,22,-9,0,0,"",NA,NA,NA,NA,NA
2015,9,4,5,"VX",170,"N632VA","LAX","EWR",2335,2332,-3,7,2339,315,304,291,2454,730,6,750,736,-14,0,0,"",NA,NA,NA,NA,NA
2015,11,18,3,"UA",405,"N37290","DEN","SNA",1533,1535,2,10,1545,149,135,120,846,1645,5,1702,1650,-12,0,0,"",NA,NA,NA,NA,NA
2015,3,5,4,"OO",6346,"N291SW","MRY","SFO",610,603,-7,9,612,49,42,18,77,630,15,659,645,-14,0,0,"",NA,NA,NA,NA,NA
2015,4,21,2,"B6",1753,"N351JB","FLL","SJU",1046,1058,12,25,1123,151,171,137,1046,1340,9,1317,1349,32,0,0,"",20,0,12,0,0
2015,5,20,3,"WN",3027,"N221WN","BNA","MDW",2105,2111,6,8,2119,85,72,58,395,2217,6,2230,2223,-7,0,0,"",NA,NA,NA,NA,NA
2015,11,14,6,"EV",5336,"N744EV","FSM","ATL",700,656,-4,14,710,102,93,73,579,923,6,942,929,-13,0,0,"",NA,NA,NA,NA,NA
2015,11,19,4,"AA",1511,"N870AA","DFW","MIA",1510,2016,306,19,2035,165,156,130,1121,2345,7,1855,2352,297,0,0,"",145,0,0,152,0
2015,8,17,1,"EV",4747,"N14171","BRO","IAH",1651,1700,9,13,1713,79,71,51,308,1804,7,1810,1811,1,0,0,"",NA,NA,NA,NA,NA
2015,1,3,6,"WN",1500,"N229WN","LAX","SLC",2035,2057,22,9,2106,100,106,93,590,2339,4,2315,2343,28,0,0,"",6,0,17,5,0
2015,5,24,7,"AS",612,"N442AS","SEA","LAS",700,653,-7,11,704,139,134,115,867,859,8,919,907,-12,0,0,"",NA,NA,NA,NA,NA
2015,4,28,2,"UA",1061,"N87512","ORD","BUF",1400,1401,1,23,1424,90,94,68,473,1632,3,1630,1635,5,0,0,"",NA,NA,NA,NA,NA
2015,3,2,1,"AA",2441,"N547AA","DFW","LAS",1445,NA,NA,NA,NA,186,NA,NA,1055,NA,NA,1551,NA,NA,0,1,"A",NA,NA,NA,NA,NA
2015,11,27,5,"AA",561,"N172US","PHX","LAS",1110,1108,-2,21,1129,74,73,46,255,1115,6,1124,1121,-3,0,0,"",NA,NA,NA,NA,NA
2015,6,28,7,"UA",1602,"N38467","LAX","SFO",618,618,0,15,633,88,73,51,337,724,7,746,731,-15,0,0,"",NA,NA,NA,NA,NA
2015,11,5,4,"WN",531,"N352SW","LAX","SMF",1420,NA,NA,NA,NA,80,NA,NA,373,NA,NA,1540,NA,NA,0,1,"A",NA,NA,NA,NA,NA
2015,4,11,6,"DL",2267,"N6713Y","ATL","SAN",1107,1105,-2,18,1123,287,287,265,1892,1248,4,1254,1252,-2,0,0,"",NA,NA,NA,NA,NA
2015,9,7,1,"B6",1622,"N655JB","LGB","PDX",1545,1545,0,10,1555,132,132,118,846,1753,4,1757,1757,0,0,0,"",NA,NA,NA,NA,NA
2015,5,25,1,"WN",24,"N520SW","HOU","DAL",1200,1640,280,59,1739,60,153,89,239,1908,5,1300,1913,373,0,0,"",93,0,0,1,279
2015,12,6,7,"B6",222,"N624JB","PBI","BOS",1510,1515,5,10,1525,180,173,157,1197,1802,6,1810,1808,-2,0,0,"",NA,NA,NA,NA,NA
2015,7,26,7,"UA",1274,"N24729","DEN","SEA",2204,2230,26,16,2246,166,166,138,1024,4,12,2350,16,26,0,0,"",0,0,26,0,0
2015,3,21,6,"EV",5069,"N900EV","ATL","EVV",954,951,-3,13,1004,84,77,62,350,1006,2,1018,1008,-10,0,0,"",NA,NA,NA,NA,NA
2015,2,2,1,"EV",3256,"N15572","ORD","CAK",1605,1603,-2,14,1617,81,69,49,343,1806,6,1826,1812,-14,0,0,"",NA,NA,NA,NA,NA
2015,7,7,2,"UA",1184,"N73270","DEN","SEA",1519,1612,53,12,1624,170,157,137,1024,1741,8,1709,1749,40,0,0,"",0,0,40,0,0
2015,9,22,2,"UA",1183,"N14231","LAS","EWR",2206,2201,-5,12,2213,288,273,255,2227,528,6,554,534,-20,0,0,"",NA,NA,NA,NA,NA
2015,7,1,3,"DL",1655,"N587NW","ATL","LAX",1205,1204,-1,24,1228,280,260,231,1947,1319,5,1345,1324,-21,0,0,"",NA,NA,NA,NA,NA
2015,4,25,6,"WN",1746,"N245WN","DCA","STL",1855,1851,-4,13,1904,130,126,109,719,1953,4,2005,1957,-8,0,0,"",NA,NA,NA,NA,NA
2015,5,22,5,"OO",4848,"N629BR","ICT","MSP",1637,1641,4,13,1654,107,108,80,545,1814,15,1824,1829,5,0,0,"",NA,NA,NA,NA,NA
2015,3,29,7,"WN",3146,"N912WN","TPA","ATL",1325,1322,-3,7,1329,90,77,65,406,1434,5,1455,1439,-16,0,0,"",NA,NA,NA,NA,NA
2015,12,18,5,"OO",3033,"N907SW","TUS","PHX",1620,1619,-1,15,1634,50,49,28,110,1702,6,1710,1708,-2,0,0,"",NA,NA,NA,NA,NA
2015,3,3,2,"WN",267,"N8314L","SAN","SJC",2030,2040,10,12,2052,85,78,61,417,2153,5,2155,2158,3,0,0,"",NA,NA,NA,NA,NA
2015,5,23,6,"WN",1653,"N952WN","LAS","IAD",1515,1524,9,11,1535,275,253,235,2065,2230,7,2250,2237,-13,0,0,"",NA,NA,NA,NA,NA
2015,8,23,7,"MQ",3035,"N942MQ","DFW","SGF",1600,1639,39,12,1651,79,72,53,364,1744,7,1719,1751,32,0,0,"",0,0,32,0,0
2015,8,11,2,"WN",2073,"N8606C","LGA","MDW",600,623,23,28,651,140,143,109,725,740,6,720,746,26,0,0,"",3,23,0,0,0
2015,1,12,1,"EV",6121,"N15986","FAR","ORD",1433,1451,18,20,1511,119,116,82,557,1633,14,1632,1647,15,0,0,"",0,0,0,15,0
2015,7,25,6,"EV",2647,"N687JS","DFW","VPS",1147,1152,5,14,1206,117,112,92,641,1338,6,1344,1344,0,0,0,"",NA,NA,NA,NA,NA
2015,3,1,7,"HA",7,"N389HA","LAS","HNL",900,900,0,12,912,380,368,352,2762,1304,4,1320,1308,-12,0,0,"",NA,NA,NA,NA,NA
2015,9,21,1,"DL",1877,"N956AT","ORD","ATL",1645,1641,-4,18,1659,121,108,82,606,1921,8,1946,1929,-17,0,0,"",NA,NA,NA,NA,NA
2015,5,22,5,"F9",1071,"N209FR","IAD","MIA",610,607,-3,12,619,155,158,132,921,831,14,845,845,0,0,0,"",NA,NA,NA,NA,NA
2015,7,20,1,"WN",527,"N951WN","MDW","OAK",810,812,2,19,831,275,279,254,1844,1045,6,1045,1051,6,0,0,"",NA,NA,NA,NA,NA
2015,4,16,4,"WN",1015,"N943WN","DAL","ABQ",2200,2219,19,13,2232,110,109,90,580,2302,6,2250,2308,18,0,0,"",0,0,0,18,0
2015,10,7,3,"DL",1563,"N920DE","13244","10397",815,809,-6,12,821,79,66,46,332,1007,8,1034,1015,-19,0,0,"",NA,NA,NA,NA,NA
2015,8,5,3,"DL",2350,"N3747D","ATL","JFK",815,814,-1,27,841,135,135,100,760,1021,8,1030,1029,-1,0,0,"",NA,NA,NA,NA,NA
2015,7,25,6,"AA",1898,"N573UW","PHX","CLT",1405,1404,-1,14,1418,246,235,212,1773,2050,9,2111,2059,-12,0,0,"",NA,NA,NA,NA,NA
2015,3,5,4,"AA",1340,"N3BMAA","MIA","ATL",659,654,-5,20,714,125,118,87,594,841,11,904,852,-12,0,0,"",NA,NA,NA,NA,NA
2015,11,25,3,"WN",856,"N962WN","BNA","BOS",1435,1434,-1,11,1445,145,150,127,942,1752,12,1800,1804,4,0,0,"",NA,NA,NA,NA,NA
2015,11,5,4,"WN",422,"N901WN","LAS","DEN",1755,1753,-2,8,1801,110,93,75,628,2016,10,2045,2026,-19,0,0,"",NA,NA,NA,NA,NA
2015,12,10,4,"OO",5328,"N920SW","GCC","DEN",1315,1305,-10,11,1316,80,70,51,313,1407,8,1435,1415,-20,0,0,"",NA,NA,NA,NA,NA
2015,6,8,1,"EV",4432,"N24128","IAH","BTR",1015,1011,-4,11,1022,67,61,47,253,1109,3,1122,1112,-10,0,0,"",NA,NA,NA,NA,NA
2015,6,11,4,"MQ",3659,"N657MQ","AMA","DFW",502,500,-2,9,509,75,64,53,312,602,2,617,604,-13,0,0,"",NA,NA,NA,NA,NA
2015,8,26,3,"OO",5611,"N788SK","SEA","LAX",1830,1826,-4,32,1858,162,182,140,954,2118,10,2112,2128,16,0,0,"",16,0,0,0,0
2015,6,10,3,"DL",1903,"N835DN","BOI","SLC",620,618,-2,41,659,63,87,43,290,742,3,723,745,22,0,0,"",22,0,0,0,0
2015,2,6,5,"US",2061,"N107US","TPA","CLT",510,502,-8,8,510,96,90,78,507,628,4,646,632,-14,0,0,"",NA,NA,NA,NA,NA
2015,11,30,1,"OO",5203,"N471CA","FSD","DEN",1733,1810,37,32,1842,102,116,75,483,1857,9,1815,1906,51,0,0,"",14,0,0,35,2
2015,5,26,2,"DL",1515,"N907DE","ATL","ALB",1905,2126,141,23,2149,147,131,105,853,2334,3,2132,2337,125,0,0,"",0,0,125,0,0
2015,1,8,4,"WN",292,"N223WN","LAX","ATL",1235,1249,14,7,1256,255,245,227,1947,1943,11,1950,1954,4,0,0,"",NA,NA,NA,NA,NA
2015,11,15,7,"EV",5887,"N13133","EWR","BNA",2111,2106,-5,22,2128,149,139,106,748,2214,11,2240,2225,-15,0,0,"",NA,NA,NA,NA,NA
2015,11,29,7,"AA",1860,"N830AW","CLE","CLT",1205,1218,13,13,1231,99,84,64,430,1335,7,1344,1342,-2,0,0,"",NA,NA,NA,NA,NA
2015,11,15,7,"WN",4451,"N8628A","LAS","CLE",1745,1818,33,17,1835,225,228,207,1824,102,4,30,106,36,0,0,"",3,0,33,0,0
2015,4,23,4,"DL",799,"N989AT","ATL","JAN",1721,1719,-2,8,1727,84,67,54,341,1721,5,1745,1726,-19,0,0,"",NA,NA,NA,NA,NA
2015,3,14,6,"AA",1344,"N581AA","DEN","DFW",1739,1740,1,14,1754,116,115,92,641,2026,9,2035,2035,0,0,0,"",NA,NA,NA,NA,NA
2015,11,29,7,"AA",1209,"N3CSAA","DFW","SMF",1045,1141,56,17,1158,232,228,207,1431,1325,4,1237,1329,52,0,0,"",0,0,52,0,0
2015,8,29,6,"AS",464,"N305AS","SEA","LAX",1855,1944,49,19,2003,164,164,138,954,2221,7,2139,2228,49,0,0,"",0,0,49,0,0
2015,8,23,7,"MQ",3411,"N928MQ","LAW","DFW",1833,1840,7,17,1857,52,71,27,140,1924,27,1925,1951,26,0,0,"",19,0,0,7,0
2015,8,3,1,"DL",1595,"N6715C","SJU","ATL",1550,1543,-7,14,1557,232,215,191,1547,1908,10,1942,1918,-24,0,0,"",NA,NA,NA,NA,NA
2015,2,4,3,"WN",4744,"N286WN","ABQ","HOU",1135,1129,-6,9,1138,115,109,97,759,1415,3,1430,1418,-12,0,0,"",NA,NA,NA,NA,NA
2015,4,17,5,"EV",4632,"N21144","LIT","IAH",920,936,16,11,947,90,90,72,374,1059,7,1050,1106,16,0,0,"",5,0,0,11,0
2015,4,26,7,"EV",4976,"N607LR","IAH","MSP",735,744,9,13,757,172,159,137,1034,1014,9,1027,1023,-4,0,0,"",NA,NA,NA,NA,NA
2015,3,14,6,"DL",1600,"N594NW","HNL","LAX",1459,1556,57,16,1612,332,319,298,2556,10,5,2331,15,44,0,0,"",0,0,44,0,0
2015,4,20,1,"AA",1170,"N3LLAA","DFW","LGA",1815,NA,NA,NA,NA,209,NA,NA,1389,NA,NA,2244,NA,NA,0,1,"B",NA,NA,NA,NA,NA
2015,3,4,3,"DL",1514,"N977DL","LGA","FLL",1500,1515,15,19,1534,200,174,151,1076,1805,4,1820,1809,-11,0,0,"",NA,NA,NA,NA,NA
2015,10,21,3,"DL",1799,"N353NB","12451","11433",700,654,-6,9,703,145,139,125,813,908,5,925,913,-12,0,0,"",NA,NA,NA,NA,NA
2015,11,20,5,"WN",2399,"N433LV","SFO","LAX",700,655,-5,7,702,80,65,53,337,755,5,820,800,-20,0,0,"",NA,NA,NA,NA,NA
2015,10,25,7,"AA",1260,"N468AA","11298","11433",1406,1432,26,9,1441,165,138,122,986,1743,7,1751,1750,-1,0,0,"",NA,NA,NA,NA,NA
2015,12,9,3,"OO",6227,"N912SW","FAT","DEN",1546,1754,128,12,1806,138,116,100,844,2046,4,1904,2050,106,0,0,"",0,0,106,0,0
2015,3,31,2,"OO",5367,"N916SW","SFO","RDD",1340,1455,75,32,1527,61,70,33,199,1600,5,1441,1605,84,0,0,"",9,0,0,75,0
2015,6,17,3,"UA",1531,"N45440","SFO","RDU",1510,1508,-2,19,1527,316,304,279,2400,2306,6,2326,2312,-14,0,0,"",NA,NA,NA,NA,NA
2015,8,12,3,"DL",1934,"N948DL","PBI","ATL",1340,1343,3,12,1355,115,106,80,545,1515,14,1535,1529,-6,0,0,"",NA,NA,NA,NA,NA
2015,12,6,7,"DL",2002,"N698DL","ATL","LAS",940,936,-4,13,949,276,260,240,1747,1049,7,1116,1056,-20,0,0,"",NA,NA,NA,NA,NA
2015,6,13,6,"NK",109,"N527NK","BOS","DTW",2120,2107,-13,10,2117,132,118,105,632,2302,3,2332,2305,-27,0,0,"",NA,NA,NA,NA,NA
2015,12,24,4,"DL",1928,"N965DN","DEN","MSP",915,910,-5,20,930,114,114,89,680,1159,5,1209,1204,-5,0,0,"",NA,NA,NA,NA,NA
2015,10,20,2,"WN",3083,"N961WN","10397","12953",2100,2100,0,22,2122,140,139,108,762,2310,9,2320,2319,-1,0,0,"",NA,NA,NA,NA,NA
2015,6,18,4,"DL",1085,"N803DN","SFO","DTW",2245,2312,27,14,2326,271,262,230,2079,616,18,616,634,18,0,0,"",0,0,13,5,0
2015,7,21,2,"WN",4390,"N8647A","DEN","PHX",2115,2120,5,13,2133,110,111,87,602,2200,11,2205,2211,6,0,0,"",NA,NA,NA,NA,NA
2015,9,4,5,"WN",463,"N246LV","MCO","ATL",1015,1014,-1,15,1029,95,83,58,404,1127,10,1150,1137,-13,0,0,"",NA,NA,NA,NA,NA
2015,7,28,2,"AA",1495,"N3CJAA","LAX","LAS",1025,1020,-5,15,1035,83,66,42,236,1117,9,1148,1126,-22,0,0,"",NA,NA,NA,NA,NA
2015,8,16,7,"DL",2053,"N950DL","FNT","ATL",1746,1741,-5,11,1752,134,123,104,645,1936,8,2000,1944,-16,0,0,"",NA,NA,NA,NA,NA
2015,10,16,5,"F9",1161,"N227FR","11042","13204",655,650,-5,11,701,145,154,130,895,911,13,920,924,4,0,0,"",NA,NA,NA,NA,NA
2015,5,28,4,"WN",857,"N221WN","LAS","TUL",1255,1301,6,21,1322,155,151,127,1076,1729,3,1730,1732,2,0,0,"",NA,NA,NA,NA,NA
2015,10,2,5,"DL",1994,"N3750D","14107","12478",600,558,-2,15,613,288,277,254,2153,1327,8,1348,1335,-13,0,0,"",NA,NA,NA,NA,NA
2015,6,6,6,"UA",1979,"N38451","IAH","EWR",856,902,6,10,912,214,198,182,1400,1314,6,1330,1320,-10,0,0,"",NA,NA,NA,NA,NA
2015,3,13,5,"WN",417,"N265WN","PHX","SAN",615,614,-1,10,624,75,63,49,304,713,4,730,717,-13,0,0,"",NA,NA,NA,NA,NA
2015,7,26,7,"MQ",3548,"N507MQ","LGA","DTW",900,859,-1,12,911,125,101,83,502,1034,6,1105,1040,-25,0,0,"",NA,NA,NA,NA,NA
2015,7,16,4,"WN",205,"N286WN","OKC","ATL",545,548,3,9,557,125,120,96,761,833,15,850,848,-2,0,0,"",NA,NA,NA,NA,NA
2015,8,21,5,"OO",5641,"N962SW","BUR","DEN",1418,1440,22,12,1452,146,130,111,850,1743,7,1744,1750,6,0,0,"",NA,NA,NA,NA,NA
2015,11,18,3,"DL",651,"N969AT","DTW","CLT",700,658,-2,14,712,115,107,88,500,840,5,855,845,-10,0,0,"",NA,NA,NA,NA,NA
2015,3,30,1,"DL",1424,"N595NW","MCO","DTW",1102,1055,-7,10,1105,159,159,146,957,1331,3,1341,1334,-7,0,0,"",NA,NA,NA,NA,NA
2015,5,23,6,"WN",3567,"N511SW","HOU","CRP",1510,1508,-2,13,1521,50,50,34,187,1555,3,1600,1558,-2,0,0,"",NA,NA,NA,NA,NA
2015,7,31,5,"AS",629,"N622AS","LAS","PDX",650,637,-13,9,646,125,119,106,763,832,4,855,836,-19,0,0,"",NA,NA,NA,NA,NA
2015,4,7,2,"EV",5996,"N11544","ORD","FNT",1420,1422,2,48,1510,69,87,35,223,1645,4,1629,1649,20,0,0,"",20,0,0,0,0
2015,12,14,1,"AA",2462,"N880AA","LAX","DFW",1200,1202,2,17,1219,188,182,138,1235,1637,27,1708,1704,-4,0,0,"",NA,NA,NA,NA,NA
2015,7,3,5,"WN",2437,"N384SW","SMF","SEA",2020,2019,-1,9,2028,105,98,81,605,2149,8,2205,2157,-8,0,0,"",NA,NA,NA,NA,NA
2015,1,16,5,"OO",5244,"N763SK","SFO","JAC",1300,1710,250,14,1724,127,119,101,737,2005,4,1607,2009,242,0,0,"",0,0,0,242,0
2015,12,7,1,"UA",1220,"N72405","IAH","SMF",1810,1808,-2,16,1824,259,238,217,1609,2001,5,2029,2006,-23,0,0,"",NA,NA,NA,NA,NA
2015,7,26,7,"NK",478,"N633NK","FLL","ORD",755,751,-4,13,804,192,200,165,1182,949,22,1007,1011,4,0,0,"",NA,NA,NA,NA,NA
2015,1,9,5,"UA",293,"N458UA","LAX","CLE",1310,1306,-4,21,1327,269,274,244,2052,2031,9,2039,2040,1,0,0,"",NA,NA,NA,NA,NA
2015,6,5,5,"WN",342,"N961WN","LAS","LAX",1920,2242,202,10,2252,65,60,42,236,2334,8,2025,2342,197,0,0,"",0,0,0,197,0
2015,5,30,6,"EV",4739,"N14117","ORD","RIC",1745,1743,-2,14,1757,126,116,97,642,2034,5,2051,2039,-12,0,0,"",NA,NA,NA,NA,NA
2015,8,1,6,"WN",4359,"N611SW","AUS","DEN",1335,1349,14,10,1359,135,127,107,775,1446,10,1450,1456,6,0,0,"",NA,NA,NA,NA,NA
